"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2020","1,784.80","1,885.30","1,973.30","1,771.30","939.99K","-5.43%"
"10/01/2020","1,887.20","1,901.10","1,945.30","1,866.70","110.00K","-0.81%"
"09/01/2020","1,902.60","1,973.70","2,001.20","1,851.00","5.45M","-3.84%"
"08/01/2020","1,978.60","1,997.40","2,089.20","1,874.20","7.18M","-0.37%"
"07/01/2020","1,985.90","1,806.90","2,005.40","1,777.50","729.52K","9.72%"
"06/01/2020","1,810.00","1,766.50","1,813.00","1,683.80","43.86K","2.80%"
"05/01/2020","1,760.70","1,699.70","1,787.50","1,683.30","856.83K","3.51%"
"04/01/2020","1,701.00","1,590.70","1,789.00","1,580.00","165.00K","6.54%"
"03/01/2020","1,596.60","1,598.40","1,707.80","1,453.00","1.58M","1.58%"
"02/01/2020","1,571.80","1,603.60","1,697.00","1,556.90","319.70K","-1.38%"
"01/01/2020","1,593.80","1,527.50","1,619.60","1,526.00","1.44M","4.22%"
"12/01/2019","1,529.30","1,474.10","1,534.50","1,465.80","176.48K","3.46%"
"11/01/2019","1,478.10","1,521.40","1,525.20","1,453.10","1.39M","-2.87%"
"10/01/2019","1,521.80","1,485.80","1,532.40","1,471.80","208.55K","2.85%"
"09/01/2019","1,479.60","1,535.20","1,566.20","1,477.10","7.30M","-3.26%"
"08/01/2019","1,529.40","1,425.60","1,565.00","1,412.10","9.04M","6.37%"
"07/01/2019","1,437.80","1,411.00","1,460.30","1,390.90","800.95K","1.28%"
"06/01/2019","1,419.60","1,317.40","1,447.00","1,317.40","38.91K","7.80%"
"05/01/2019","1,316.90","1,291.10","1,317.50","1,273.20","974.68K","1.95%"
"04/01/2019","1,291.70","1,302.90","1,320.70","1,274.00","110.51K","-0.98%"
"03/01/2019","1,304.50","1,322.00","1,330.80","1,287.50","1.01M","-1.38%"
"02/01/2019","1,322.70","1,332.10","1,356.00","1,311.30","110.39K","-0.67%"
"01/01/2019","1,331.60","1,291.40","1,337.20","1,281.50","957.14K","3.41%"
"12/01/2018","1,287.70","1,233.30","1,292.60","1,233.00","112.60K","4.54%"
"11/01/2018","1,231.80","1,222.30","1,245.00","1,202.40","990.04K","0.90%"
"10/01/2018","1,220.80","1,201.70","1,252.00","1,192.00","160.30K","1.57%"
"09/01/2018","1,201.90","1,206.30","1,218.00","1,190.00","4.60M","-0.40%"
"08/01/2018","1,206.70","1,232.70","1,233.70","1,167.10","6.04M","-2.18%"
"07/01/2018","1,233.60","1,260.00","1,272.30","1,215.70","644.48K","-2.11%"
"06/01/2018","1,260.20","1,309.60","1,318.90","1,253.00","57.96K","-3.86%"
"05/01/2018","1,310.80","1,322.10","1,332.40","1,286.80","1.10M","-1.09%"
"04/01/2018","1,325.30","1,336.30","1,375.10","1,317.00","142.49K","-0.60%"
"03/01/2018","1,333.30","1,325.60","1,362.60","1,309.30","1.19M","0.73%"
"02/01/2018","1,323.70","1,352.50","1,369.60","1,314.50","187.33K","-1.83%"
"01/01/2018","1,348.40","1,309.90","1,370.50","1,309.30","1.28M","2.62%"
"12/01/2017","1,314.00","1,281.70","1,314.60","1,242.70","89.44K","2.57%"
"11/01/2017","1,281.10","1,275.70","1,304.50","1,270.10","956.69K","0.50%"
"10/01/2017","1,274.70","1,286.60","1,312.70","1,267.00","138.59K","-1.10%"
"09/01/2017","1,288.90","1,326.90","1,362.40","1,282.50","6.23M","-2.52%"
"08/01/2017","1,322.20","1,275.60","1,331.90","1,257.10","6.47M","3.83%"
"07/01/2017","1,273.40","1,245.70","1,277.30","1,207.60","532.99K","2.20%"
"06/01/2017","1,246.00","1,274.80","1,302.10","1,240.90","43.11K","-2.58%"
"05/01/2017","1,279.00","1,273.10","1,280.00","1,217.80","697.15K","0.57%"
"04/01/2017","1,271.70","1,254.30","1,300.30","1,248.80","82.43K","1.37%"
"03/01/2017","1,254.50","1,252.00","1,264.20","1,198.00","802.35K","-0.21%"
"02/01/2017","1,257.20","1,216.00","1,268.10","1,203.40","114.90K","3.52%"
"01/01/2017","1,214.50","1,154.40","1,223.00","1,149.70","738.56K","5.22%"
"12/01/2016","1,154.30","1,178.70","1,192.60","1,127.20","90.69K","-1.93%"
"11/01/2016","1,177.00","1,281.90","1,341.00","1,172.80","833.00K","-7.82%"
"10/01/2016","1,276.90","1,324.60","1,325.70","1,246.90","169.63K","-3.33%"
"09/01/2016","1,320.90","1,311.70","1,357.60","1,305.50","3.30M","0.72%"
"08/01/2016","1,311.40","1,357.20","1,374.20","1,306.90","3.98M","-3.40%"
"07/01/2016","1,357.50","1,329.10","1,380.90","1,314.70","578.21K","2.53%"
"06/01/2016","1,324.00","1,220.90","1,365.50","1,212.30","81.17K","8.50%"
"05/01/2016","1,220.30","1,296.60","1,308.00","1,205.00","938.19K","-5.59%"
"04/01/2016","1,292.60","1,236.00","1,300.50","1,211.80","117.74K","4.49%"
"03/01/2016","1,237.00","1,239.60","1,287.80","1,207.70","883.60K","0.15%"
"02/01/2016","1,235.10","1,116.20","1,264.10","1,116.20","136.29K","10.59%"
"01/01/2016","1,116.80","1,062.10","1,128.70","1,061.90","654.09K","5.28%"
"12/01/2015","1,060.80","1,064.80","1,088.80","1,046.60","91.25K","-0.49%"
"11/01/2015","1,066.00","1,142.20","1,143.10","1,052.50","611.05K","-6.68%"
"10/01/2015","1,142.30","1,115.90","1,192.10","1,106.00","70.57K","2.36%"
"09/01/2015","1,116.00","1,133.80","1,156.40","1,097.70","2.41M","-1.46%"
"08/01/2015","1,132.50","1,095.10","1,169.80","1,080.20","3.18M","3.42%"
"07/01/2015","1,095.10","1,171.60","1,175.30","1,072.80","451.20K","-6.63%"
"06/01/2015","1,172.80","1,193.30","1,205.50","1,163.20","22.07K","-1.50%"
"05/01/2015","1,190.70","1,184.00","1,232.80","1,170.00","582.63K","0.62%"
"04/01/2015","1,183.40","1,184.00","1,225.00","1,175.20","58.90K","-0.06%"
"03/01/2015","1,184.10","1,214.90","1,223.70","1,142.40","730.99K","-2.46%"
"02/01/2015","1,214.00","1,280.20","1,286.50","1,190.80","66.38K","-5.16%"
"01/01/2015","1,280.00","1,185.00","1,308.80","1,168.30","631.89K","8.03%"
"12/01/2014","1,184.90","1,159.20","1,239.40","1,143.40","85.96K","0.76%"
"11/01/2014","1,176.00","1,171.10","1,208.20","1,132.00","585.60K","0.31%"
"10/01/2014","1,172.40","1,208.50","1,256.20","1,161.90","111.55K","-3.29%"
"09/01/2014","1,212.30","1,288.50","1,290.90","1,205.00","2.68M","-5.83%"
"08/01/2014","1,287.40","1,284.20","1,324.30","1,273.40","2.19M","0.36%"
"07/01/2014","1,282.80","1,327.80","1,347.00","1,281.30","341.64K","-2.99%"
"06/01/2014","1,322.40","1,247.50","1,330.30","1,240.90","33.37K","6.11%"
"05/01/2014","1,246.30","1,292.10","1,315.70","1,243.00","568.51K","-3.83%"
"04/01/2014","1,296.00","1,283.60","1,331.00","1,268.50","86.98K","0.93%"
"03/01/2014","1,284.10","1,330.60","1,392.20","1,283.40","600.36K","-2.86%"
"02/01/2014","1,321.90","1,243.20","1,345.90","1,241.20","104.74K","6.58%"
"01/01/2014","1,240.30","1,204.00","1,280.10","1,203.70","611.97K","3.10%"
"12/01/2013","1,203.00","1,251.90","1,266.70","1,182.30","77.12K","-3.86%"
"11/01/2013","1,251.30","1,324.30","1,327.80","1,226.40","482.77K","-5.53%"
"10/01/2013","1,324.50","1,328.40","1,362.30","1,253.70","101.95K","-0.24%"
"09/01/2013","1,327.70","1,394.00","1,416.40","1,291.50","2.86M","-4.90%"
"08/01/2013","1,396.10","1,323.40","1,434.00","1,271.80","3.20M","6.33%"
"07/01/2013","1,313.00","1,235.80","1,348.00","1,208.50","460.31K","7.20%"
"06/01/2013","1,224.80","1,391.20","1,424.00","1,182.60","49.24K","-12.15%"
"05/01/2013","1,394.20","1,476.90","1,488.50","1,338.00","660.85K","-5.38%"
"04/01/2013","1,473.50","1,602.60","1,604.10","1,323.00","166.47K","-7.76%"
"03/01/2013","1,597.40","1,581.40","1,618.30","1,562.50","602.97K","1.11%"
"02/01/2013","1,579.80","1,665.00","1,689.10","1,556.40","137.36K","-4.95%"
"01/01/2013","1,662.00","1,675.80","1,697.10","1,630.00","350.11K","-0.89%"
"12/01/2012","1,676.90","1,715.50","1,725.00","1,636.00","2.29M","-2.09%"
"11/01/2012","1,712.70","1,724.00","1,756.00","1,678.20","325.21K","-0.44%"
"10/01/2012","1,720.20","1,773.70","1,798.10","1,698.70","2.75M","-3.03%"
"09/01/2012","1,773.90","1,702.20","1,787.50","1,692.60","342.55K","5.19%"
"08/01/2012","1,686.40","1,615.80","1,688.80","1,584.20","211.66K","4.59%"
"07/01/2012","1,612.40","1,591.60","1,629.30","1,557.80","19.88K","0.44%"
"06/01/2012","1,605.30","1,561.80","1,642.40","1,545.50","2.94M","2.63%"
"05/01/2012","1,564.20","1,658.00","1,658.00","1,528.20","456.96K","-6.07%"
"04/01/2012","1,665.30","1,671.50","1,685.40","1,613.00","2.37M","-0.39%"
"03/01/2012","1,671.90","1,701.00","1,725.00","1,628.80","282.59K","-2.38%"
"02/01/2012","1,712.60","1,739.80","1,789.50","1,695.10","2.61M","-1.60%"
"01/01/2012","1,740.40","1,574.40","1,750.60","1,574.40","300.14K","10.99%"
"12/01/2011","1,568.00","1,752.50","1,767.10","1,550.90","2.46M","-10.42%"
"11/01/2011","1,750.30","1,724.80","1,804.00","1,670.60","349.60K","1.40%"
"10/01/2011","1,726.20","1,625.10","1,765.00","1,596.60","2.64M","6.40%"
"09/01/2011","1,622.30","1,877.30","1,915.50","1,540.00","350.54K","-11.36%"
"08/01/2011","1,830.30","1,620.60","1,915.00","1,608.10","358.12K","12.30%"
"07/01/2011","1,629.90","1,499.40","1,636.30","1,482.30","48.10K","8.42%"
"06/01/2011","1,503.30","1,536.60","1,559.30","1,490.80","2.62M","-2.18%"
"05/01/2011","1,536.80","1,570.50","1,575.90","1,464.90","259.76K","-1.30%"
"04/01/2011","1,557.00","1,433.80","1,565.40","1,413.50","2.57M","8.13%"
"03/01/2011","1,439.90","1,415.50","1,448.50","1,384.90","298.53K","2.08%"
"02/01/2011","1,410.60","1,334.00","1,418.80","1,325.30","2.29M","5.70%"
"01/01/2011","1,334.50","1,416.50","1,423.80","1,309.10","424.08K","-6.19%"
"12/01/2010","1,422.50","1,387.70","1,432.50","1,361.60","2.52M","2.63%"
"11/01/2010","1,386.10","1,359.30","1,425.00","1,327.00","359.87K","2.02%"
"10/01/2010","1,358.70","1,309.60","1,388.10","1,307.30","3.11M","3.75%"
"09/01/2010","1,309.60","1,247.90","1,317.50","1,242.00","298.92K","4.80%"
"08/01/2010","1,249.60","1,182.80","1,244.50","1,175.40","148.99K","5.68%"
"07/01/2010","1,182.40","1,200.00","1,218.20","1,156.40","28.37K","-5.17%"
"06/01/2010","1,246.90","1,216.70","1,266.50","1,198.10","2.40M","2.63%"
"05/01/2010","1,215.00","1,182.00","1,249.10","1,158.50","241.45K","2.84%"
"04/01/2010","1,181.40","1,114.60","1,181.90","1,112.30","2.46M","6.00%"
"03/01/2010","1,114.50","1,118.60","1,145.80","1,086.10","225.33K","-0.45%"
"02/01/2010","1,119.50","1,081.90","1,131.50","1,044.50","3.03M","3.29%"
"01/01/2010","1,083.80","1,095.00","1,162.50","1,074.40","404.24K","-1.19%"
"12/01/2009","1,096.90","1,181.40","1,227.50","1,075.20","3.62M","-7.22%"
"11/01/2009","1,182.30","1,092.90","1,196.80","1,087.80","454.22K","13.58%"
"10/01/2009","1,040.90","1,008.30","1,072.00","987.00","2.76M","3.13%"
"09/01/2009","1,009.30","950.60","1,020.90","950.50","248.99K","5.93%"
"08/01/2009","952.80","954.80","972.70","930.20","94.56K","-0.18%"
"07/01/2009","954.50","933.80","959.30","905.80","21.89K","2.84%"
"06/01/2009","928.10","981.00","992.10","913.20","1.93M","-5.32%"
"05/01/2009","980.30","888.60","982.00","886.30","228.30K","9.90%"
"04/01/2009","892.00","920.00","935.80","865.00","1.50M","-3.57%"
"03/01/2009","925.00","902.00","966.80","884.70","210.76K","-1.96%"
"02/01/2009","943.50","927.00","1,007.70","890.30","1.97M","1.63%"
"01/01/2009","928.40","876.70","931.30","804.60","263.76K","4.93%"
"12/01/2008","884.80","819.00","892.00","741.20","1.66M","8.03%"
"11/01/2008","819.00","739.20","834.00","700.00","128.48K","13.92%"
"10/01/2008","718.90","876.90","936.30","681.00","2.64M","-18.38%"
"09/01/2008","880.80","808.90","932.00","743.50","326.35K","5.71%"
"08/01/2008","833.20","917.70","921.30","774.00","131.19K","-9.24%"
"07/01/2008","918.00","942.80","992.00","897.90","40.50K","-1.35%"
"06/01/2008","930.60","891.30","932.50","859.60","2.23M","4.39%"
"05/01/2008","891.50","867.70","937.30","850.00","260.95K","2.80%"
"04/01/2008","867.20","920.50","956.20","873.40","2.31M","-5.89%"
"03/01/2008","921.50","985.90","1,034.30","908.70","248.14K","-5.73%"
"02/01/2008","977.50","929.80","977.60","888.40","2.17M","5.33%"
"01/01/2008","928.00","847.70","942.20","847.70","234.80K","10.32%"
"12/01/2007","841.20","789.40","838.50","783.00","1.42M","6.60%"
"11/01/2007","789.10","811.50","841.90","778.10","233.65K","-1.18%"
"10/01/2007","798.50","750.60","798.30","726.30","2.13M","6.47%"
"09/01/2007","750.00","688.50","752.80","686.60","185.62K","10.49%"
"08/01/2007","678.80","668.60","682.00","646.40","67.86K","0.86%"
"07/01/2007","673.00","659.00","690.40","656.00","11.86K","2.92%"
"06/01/2007","653.90","666.50","679.50","641.10","1.29M","-1.92%"
"05/01/2007","666.70","689.40","694.60","656.30","152.69K","-2.91%"
"04/01/2007","686.70","671.10","698.00","661.70","1.19M","2.65%"
"03/01/2007","669.00","656.20","673.80","642.50","151.19K","-0.98%"
"02/01/2007","675.60","658.50","699.00","648.00","1.12M","2.69%"
"01/01/2007","657.90","649.00","660.70","608.00","131.40K","2.62%"
"12/01/2006","641.10","655.00","655.50","615.10","683.28K","-1.81%"
"11/01/2006","652.90","627.00","654.50","626.50","71.88K","7.07%"
"10/01/2006","609.80","604.00","618.50","563.50","652.91K","0.93%"
"09/01/2006","604.20","633.50","633.50","586.00","81.87K","-4.28%"
"08/01/2006","631.20","640.40","662.50","610.00","61.93K","-1.44%"
"07/01/2006","640.40","654.00","667.00","610.00","5.52K","3.41%"
"06/01/2006","619.30","649.80","651.30","546.40","959.91K","-4.58%"
"05/01/2006","649.00","664.40","730.00","641.00","134.52K","-1.32%"
"04/01/2006","657.70","587.80","653.00","586.30","1.02M","12.10%"
"03/01/2006","586.70","545.00","594.60","545.00","173.78K","3.57%"
"02/01/2006","566.50","575.00","579.50","537.80","989.37K","-1.56%"
"01/01/2006","575.50","537.30","577.30","525.00","131.20K","10.42%"
"12/01/2005","521.20","498.00","544.50","492.30","1.00M","4.51%"
"11/01/2005","498.70","458.50","506.70","458.50","129.39K","6.38%"
"10/01/2005","468.80","471.50","483.10","462.00","993.57K","-0.74%"
"09/01/2005","472.30","473.10","477.80","471.10","119.62K","8.18%"
"08/01/2005","436.60","432.60","452.20","431.60","155.01K","0.88%"
"07/01/2005","432.80","422.00","433.50","422.00","9.90K","-1.32%"
"06/01/2005","438.60","418.70","445.40","416.70","1.08M","4.70%"
"05/01/2005","418.90","422.70","422.90","415.80","132.97K","-4.23%"
"04/01/2005","437.40","431.10","439.10","423.50","731.94K","1.46%"
"03/01/2005","431.10","435.70","435.70","428.00","77.71K","-1.75%"
"02/01/2005","438.80","424.30","438.20","411.50","740.43K","3.47%"
"01/01/2005","424.10","420.00","429.70","420.00","131.99K","-3.48%"
"12/01/2004","439.40","453.40","458.70","432.90","885.97K","-3.05%"
"11/01/2004","453.20","440.60","457.00","439.00","152.65K","5.32%"
"10/01/2004","430.30","420.40","432.00","410.50","913.35K","2.35%"
"09/01/2004","420.40","405.30","420.80","405.30","137.25K","2.11%"
"08/01/2004","411.70","393.40","415.50","388.30","70.61K","4.92%"
"07/01/2004","392.40","407.00","407.00","386.00","9.11K","-0.30%"
"06/01/2004","393.60","396.00","405.60","382.50","769.03K","-0.33%"
"05/01/2004","394.90","378.00","398.00","378.00","43.70K","1.78%"
"04/01/2004","388.00","427.50","433.00","378.60","1.01M","-9.41%"
"03/01/2004","428.30","398.90","428.50","398.90","120.45K","7.80%"
"02/01/2004","397.30","403.10","418.00","392.00","765.58K","-1.39%"
"01/01/2004","402.90","426.30","428.00","397.50","166.89K","-3.29%"
"12/01/2003","416.60","398.90","419.10","397.80","653.30K","4.67%"
"11/01/2003","398.00","398.00","402.00","391.30","54.43K","3.35%"
"10/01/2003","385.10","385.90","393.00","366.50","912.74K","-0.26%"
"09/01/2003","386.10","383.00","389.40","380.20","95.71K","2.60%"
"08/01/2003","376.30","355.50","374.30","346.00","60.86K","6.00%"
"07/01/2003","355.00","352.10","367.00","345.00","7.18K","2.39%"
"06/01/2003","346.70","364.00","370.50","343.50","709.93K","-5.17%"
"05/01/2003","365.60","345.00","371.00","345.00","98.77K","7.59%"
"04/01/2003","339.80","336.80","339.40","319.80","552.34K","0.86%"
"03/01/2003","336.90","353.50","353.50","328.50","58.33K","-3.93%"
"02/01/2003","350.70","368.90","390.80","342.40","760.38K","-4.99%"
"01/01/2003","369.10","347.50","372.70","347.50","82.43K","5.88%"
"12/01/2002","348.60","319.10","355.70","316.60","642.29K","9.69%"
"11/01/2002","317.80","321.50","323.50","317.60","28.40K","-0.31%"
"10/01/2002","318.80","324.30","325.50","309.10","589.66K","-1.97%"
"09/01/2002","325.20","327.30","327.30","320.10","53.34K","3.80%"
"08/01/2002","313.30","302.30","318.80","299.50","43.65K","2.99%"
"07/01/2002","304.20","317.00","326.00","302.00","5.76K","-3.24%"
"06/01/2002","314.40","327.50","331.50","316.60","569.50K","-4.00%"
"05/01/2002","327.50","314.20","330.20","314.20","74.24K","5.71%"
"04/01/2002","309.80","304.00","313.50","298.00","452.94K","2.01%"
"03/01/2002","303.70","303.90","305.80","301.50","29.62K","2.05%"
"02/01/2002","297.60","283.00","309.40","282.40","525.46K","5.20%"
"01/01/2002","282.90","282.60","284.30","281.40","55.33K","1.29%"
"12/01/2001","279.30","275.80","281.40","271.70","299.63K","1.60%"
"11/01/2001","274.90","281.10","282.30","272.10","56.45K","-2.10%"
"10/01/2001","280.80","293.70","295.90","275.80","389.79K","-4.49%"
"09/01/2001","294.00","276.30","295.50","272.80","34.52K","6.60%"
"08/01/2001","275.80","267.90","282.00","267.00","35.47K","2.95%"
"07/01/2001","267.90","267.00","272.40","265.80","2.73K","-1.51%"
"06/01/2001","272.00","266.80","279.80","265.50","384.58K","1.91%"
"05/01/2001","266.90","275.20","276.20","266.00","116.42K","0.76%"
"04/01/2001","264.90","259.10","269.50","255.80","363.30K","2.20%"
"03/01/2001","259.20","260.10","262.20","258.50","50.11K","-3.61%"
"02/01/2001","268.90","267.80","271.30","255.10","353.16K","0.34%"
"01/01/2001","268.00","274.50","274.50","265.10","53.74K","-2.51%"
"12/01/2000","274.90","273.20","279.90","270.30","292.59K","0.59%"
"11/01/2000","273.30","272.50","273.50","269.50","68.97K","2.09%"
"10/01/2000","267.70","277.30","279.90","263.50","376.98K","-3.32%"
"09/01/2000","276.90","276.00","282.20","275.50","50.35K","-1.39%"
"08/01/2000","280.80","280.30","281.80","272.60","16.04K","0.21%"
"07/01/2000","280.20","286.00","290.40","273.50","5.31K","-4.37%"
"06/01/2000","293.00","275.40","296.50","274.80","539.26K","6.62%"
"05/01/2000","274.80","275.10","277.20","274.50","40.56K","-0.43%"
"04/01/2000","276.00","281.50","291.50","276.40","292.95K","-1.92%"
"03/01/2000","281.40","279.00","283.00","277.50","61.62K","-4.74%"
"02/01/2000","295.40","286.00","326.90","285.00","710.14K","3.21%"
"01/01/2000","286.20","291.50","291.50","283.00","83.45K","-1.55%"
"12/01/1999","290.70","293.00","298.50","276.20","373.32K","-0.78%"
"11/01/1999","293.00","295.50","301.00","292.40","64.33K","-2.66%"
"10/01/1999","301.00","299.10","339.00","287.60","755.82K","0.50%"
"09/01/1999","299.50","311.10","322.40","295.10","132.64K","16.54%"
"08/01/1999","257.00","257.00","263.80","253.00","25.35K","-0.23%"
"07/01/1999","257.60","258.00","260.00","254.00","2.76K","-2.53%"
"06/01/1999","264.30","271.50","272.00","258.50","455.13K","-2.83%"
"05/01/1999","272.00","287.80","287.80","269.40","73.20K","-5.78%"
